Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,,,,
The Application of Data Mining Technology in Employment Analysis of University Graduates,H. Yu; Z. Zhang,"School Office of Northwestern, Polytechnical University, xi’an, 710072, China; Ming de college of Northwestern, Polytechnical University, xi’an, 710129, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,846,849,"The employment of university gaduates is the last link of university student education and a new starting point for every student's career. It is a very important thing for both the students themselves and the university. Therefore, it is an important task for colleges and universities to guide students to achieve high-quality employment, the whole school needs to be involved and complete. The core of data mining is to search useful data from data-intensive algorithms. In this paper, data mining technology is applied to analyze the employment data of university graduates to find out useful information and relationships, so as to promote student education and employment guidance.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466511,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466511,Data mining;student education;Mining models;Association rules,Data mining;Employment;Data models;Prediction algorithms;Clustering algorithms;Classification algorithms;Analytical models,data analysis;data mining;employment,data mining technology;employment analysis;university graduates;university student education;colleges;universities;data-intensive algorithms;employment data;data analysis,,,5,,,,,IEEE,IEEE Conferences,,,,,,
Cluster Analysis of the Rural Income in Luoyang City by SPSS,J. Zhang; Y. Li,"School of Economics and Management, China University of Geosciences, Wuhan, Hubei; School of Mathematics and Statistics, Zhengzhou Normal University, Zhengzhou, Henan",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,786,789,"In this paper, we carried out the statistics and cluster analysis of the household operating income, wage income, transferable income and property income of the rural residents in Luoyang City by SPSS.17. After the analysis, we drew a conclusion that all districts and counties of Luoyang City can promote the growth of rural income of Luoyang City by actively optimizing the geographical position, increasing the industrial investment and industrial enterprises, improving the educational output value, increasing the employment channels and developing the rural sidelines.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466442,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466442,Luoyang City;rural income;cluster analysis,Urban areas;Economics;Industries;Education;Employment;Sociology;Statistics,employment;investment;salaries;statistical analysis,cluster analysis;rural income;household operating income;wage income;statistics analysis;industrial investment;employment channels;educational output value,,,6,,,,,IEEE,IEEE Conferences,,,,,,
"Quality Inspection of Size, Shape and Arrangement of Sweet Corn Seeds by Image Processing",M. Wattana; T. Phonarin; U. Ketnork,"Department of Computer Science, Khon Kaen University, Khon Kaen, Thailand; Department of Computer Science, Khon Kaen University, Khon Kaen, Thailand; Department of Computer Science, Khon Kaen University, Khon Kaen, Thailand",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,463,467,"This article proposes the techniques for inspecting the quality of sweet corn using image processing. The size, shape and arrangement of sweet corn kernels were considered in quality inspection. The measurement of the size of sweet corn was done by measuring the distance between the two endpoints of the sweet corn image. The shape of the sweet corn was examined by the symmetry of the sweet corn. In order to determine the arrangement of the kernels, the edges of the image were figured out by Laplacian of Gaussian which was then used to calculate the uniformity of the distance between lines. The experimental results showed that, the size of sweet corn, the average error was 0.18 cm and the shape and the symmetry of corn cob and the arrangement of the corn kernels were correct.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466509,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466509,sweet corn;image processing;Laplacian of Gaussian;agricultural product quality inspection,Kernel;Inspection;Shape;Standards;Laplace equations;Image processing;Size measurement,agricultural products;food processing industry;food products;food technology;image processing;inspection;quality control;size measurement,quality inspection;image processing;corn cob;sweet corn seeds arrangement;size measurement;distance measurement;sweet corn shape;Laplacian of Gaussian,,,7,,,,,IEEE,IEEE Conferences,,,,,,
An Improved Golden Ball Algorithm for the Vehicle Routing Problem with Simultaneous Pickup and Delivery,K. Ruttanateerawichien; W. Kurutach,"Faculty of Information Science and Technology, Mahanakorn University of Technology, Bangkok, Thailand; Faculty of Information Science and Technology, Mahanakorn University of Technology, Bangkok, Thailand",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,258,262,"A Golden Ball (IGB) algorithm was improved for the well-known vehicle routing problem, which simultaneously considers the customer demand from both delivery and pickup orders. The objective of this problem was to determine the optimal set of routes to totally satisfy both the delivery and pickup demand of the customer population. In this paper, the Golden Ball (GB) algorithm was improved using intra-move improvement algorithms modify process selection players and coaching procedure. The aim was to find the solution that minimizes the total cost. Computational results showed that the IGB algorithm was competitive and outperforms the Golden Ball (GB) algorithm in all directions. Moreover, the best known solutions were also obtained in 67.43% of tested instances (19 out of 28).",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466513,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466513,Vehicle routing problem;Golden Ball algorithm,Vehicle routing;Heuristic algorithms;Training;Clustering algorithms;Sociology;Statistics,cost reduction;customer satisfaction;goods distribution;search problems;vehicle routing,intra-move improvement algorithms;customer demand;golden ball algorithm;vehicle routing problem;delivery-pickup orders;cost minimization;customer satisfaction,,,27,,,,,IEEE,IEEE Conferences,,,,,,
A Greedy and Genetic Fusion Algorithm for Solving Course Timetabling Problem,K. Wang; W. Shang; M. Liu; W. Lin; H. Fu,"School of Computer Science, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China; GuiZhou Esgyn Information Technology Co., Ltd, Guizhou, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,344,349,"In 1976, S. Even and Cooper proved that Course Timetabling Problem (CTP) is a nondeterministic polynomial time-complete problem which is hard to be solved. Though many intelligent methods have been applied to solve the Course Timetabling Problem in recent years, there is still a lot of room for improvement. This paper proposed a Greedy and Genetic Fusion Algorithm (GGFA) to solve Course Timetabling Problem efficiently, which can obtain the local optimal solution by using Greedy Algorithm and provide a high-quality initial population for Genetic Algorithm. Simulation results prove that Greedy and Genetic Fusion Algorithm proposed in this paper has the stronger optimal ability and faster convergence speed than standard Genetic Algorithm, which could solve the CTP effectively and achieved good results.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466405,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466405,Course Time-tabling Problem;Genetic Algorithm;Greedy Algorithm;Fusion Algorithm,Genetic algorithms;Sociology;Statistics;Genetics;Encoding;Biological cells;Greedy algorithms,computational complexity;educational courses;genetic algorithms;greedy algorithms,greedy fusion algorithm;genetic fusion algorithm;nondeterministic polynomial time-complete problem;Course Timetabling Problem efficiently;standard Genetic Algorithm;local optimal solution;optimal ability;convergence speed,,,15,,,,,IEEE,IEEE Conferences,,,,,,
Applying Feedback Information for Random Partition Testing,A. M. Sinaga,"Faculty of Informatics and Electrical Engineering, Institut Teknologi Del, Indonesia",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,224,228,"Random testing is a basic strategy in software testing. Partition testing is another basic testing strategy that separates input domain into disjoint sub domains. However, the effectiveness of random testing and partition testing should be improved by using feedback information. Feedback-controlled testing has been introduced in adaptive testing strategy. Computational overhead become a major issue in adaptive testing strategy. The algorithms for parameter estimation have high computational overhead. In this paper, a simplified parameter estimation is introduced by applying feedback mechanism. Experimental results show that the studied method can improve the cost-effectiveness of random testing with lower computational overhead than the adaptive testing strategy.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466515,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466515,random testing;partition testing;feedback mechanism;adaptive testing;software testing,Software;Software testing;Parameter estimation;History;Genetic algorithms;Databases,feedback;parameter estimation;program testing,feedback information;random partition testing;software testing;basic testing strategy;feedback-controlled testing;adaptive testing strategy;computational overhead;parameter estimation,,,18,,,,,IEEE,IEEE Conferences,,,,,,
Developing Smart Farm and Traceability System for Agricultural Products using IoT Technology,K. Wongpatikaseree; P. Kanka; A. Ratikan,"Department of Computer Engineering, Mahidol University, Thailand; Department of Computer Engineering, Mahidol University International College, Thailand; Intelligent Informatics and Service Innovation Research Center (IISI), Sirindhorn International Institute Of Technology, Thammasat University, Thailand",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,180,184,"In the past, most farmers have taken care of their products by relying on basic observation and general knowledge. The quality of agricultural products depends on the farmer's skill and experience. Therefore, transferring knowledge of planting techniques from one generation to another is not an easy task. In recent years, the smart farm concept has been introduced. However, most current smart farming focuses on monitoring, without utilising the observed data in other ways. Therefore, the aim of this research is to propose a traceability system, summarising and presenting observed data from the smart farm. The Internet of Things (IoT) has been introduced in this research, using several sensors to detect the environmental data in the smart farm. The entire data from the results was computed and presented using a traceability system. Customers are provided with more information support, especially concerning the quality of the planting process, before buying an agricultural product by scanning a quick response (QR) code through a mobile application. This gives the customer greater confidence in the product.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466479,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466479,,Green products;Temperature sensors;Agricultural products;Temperature measurement;Intelligent sensors;Humidity,agricultural products;farming;Internet of Things;process monitoring;product quality;QR codes;sensors,traceability system;IoT technology;smart farm concept;agricultural product quality;planting techniques;sensors;information support;quick response code;mobile application;knowledge transfer;process monitoring,,,10,,,,,IEEE,IEEE Conferences,,,,,,
Broadcast Monitoring Algorithm Based on Frequency Spectral Analysis,Z. Zhao; Y. Hou; S. Sun,"Engineering Research Center of Digital Audio & Video Ministry of Education, Communication University of China, Beijing, China; Engineering Research Center of Digital Audio & Video Ministry of Education, Communication University of China, Beijing, China; The Radio and Television Information Security Institute, Communication University of China, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,674,677,"Broadcast monitoring is a very useful method in advertisement broadcasting, copyright management and testing of illegal broadcasting etc of broadcast station. In this paper, the histogram pruning algorithm is applied to broadcast monitoring. Meanwhile, an adaptive algorithm based on frequency spectral analysis is proposed to solve the problem of low retrieval rate caused by noise interference in compressed audio applications.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466411,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466411,broadcast monitoring;histogram pruning algorithm;compressed audio,Histograms;Feature extraction;Monitoring;Mel frequency cepstral coefficient;Adaptive algorithms;Information retrieval;Classification algorithms,audio signal processing;feature extraction,broadcast monitoring algorithm;frequency spectral analysis;advertisement broadcasting;copyright management;broadcast station;histogram pruning algorithm;adaptive algorithm;illegal broadcasting;compressed audio applications;noise interference,,,8,,,,,IEEE,IEEE Conferences,,,,,,
Application of Data Warehouse and OLAP Technology in Students' Teaching Evaluation,T. Wang,"Computer NIC Center, Communication University of China, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,593,598,"In order to solve the problem of failing to make good use of teaching evaluation data in some colleges and universities, the application of data warehouse and OLAP technology in students' teaching evaluation is discussed. In combination with specific cases, the complete design and implementation process of the teaching evaluation data warehouse is given. Based on this, a multidimensional cube of teaching evaluation is created. Through the multidimensional analysis for it, the useful knowledge hidden in the data is obtained. It provides strong support for objectively evaluating teacher by managers and improving teaching by teachers.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466446,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466446,students’ evaluation of teaching;data warehouse;online analytical processing;multidimensional analysis,Education;Data warehouses;Data models;Indexes;Analytical models;Data mining,computer aided instruction;data analysis;data mining;data warehouses;teaching,OLAP technology;teaching evaluation data warehouse;students teaching evaluation;multidimensional cube;multidimensional analysis,,,8,,,,,IEEE,IEEE Conferences,,,,,,
Applying the differential evolution algorithm with the fuzzy selection mechanism for the flexible job shop scheduling problem,A. Phu-ang,"Information Technology Department, Chandrakasem Rajabhat University, Bangkok, Thailand",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,154,159,"This paper proposed the new algorithm which applied the fuzzy selection mechanism with the differential evolution (DE) algorithm for solving the flexible job shop scheduling problem (FJSP). The proposed algorithm is mainly based on the concept of the DE algorithm. In the first step, the population is created by randomly using the population generation rules. Next step, this paper utilized the fuzzy selection mechanism to select the proper machine according to the number of operation load and the machine processing time load. The POX and the uniform crossover operation are used to enhance the exploitation capability in the third step. The finally, the local search based on the critical path operation is applied to explore the neighbor solution in the surrounding areas of the best population. The experimental result shows that, the proposed algorithm is best among the other comparison algorithm.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466517,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466517,fuzzy logic;flexible job shop;differential evolution;machine selection,Sociology;Statistics;Optimization;Fuzzy sets;Heuristic algorithms;Job shop scheduling;Inference algorithms,evolutionary computation;fuzzy logic;job shop scheduling;search problems,fuzzy selection mechanism;flexible job shop scheduling problem;population generation rules;machine processing time load;differential evolution algorithm;machine selection;local search method;machine operation load,,,12,,,,,IEEE,IEEE Conferences,,,,,,
Speech Recognition of Confusable Word Based on Ideal Distance Matrix,Q. Gao; S. Sun,"School of Computer Science, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,335,338,"In order to improve the recognition efficiency of classical DTW algorithm in speech recognition of confusable word, a new method for recognition of confusable word is proposed in this paper. The distance between the measured speech and the template speech is calculated by the general distance matrix and the ideal state distance matrix. The Offset-Loss is introduced and it is used to evaluate the similarity between the measured speech and the template speech. The experimental results show that it improves the matching speed and the accuracy of the improved algorithm is almost the same as the classical DTW algorithm.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466413,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466413,Recognition of confusable word;DTW;Distance matrix;Offset-Loss,Euclidean distance;Speech recognition;Mel frequency cepstral coefficient;Data mining;Heuristic algorithms;Speech;Feature extraction,matrix algebra;signal denoising;speech recognition,speech recognition;confusable word;ideal distance matrix;recognition efficiency;measured speech;template speech;general distance matrix;DTW algorithm;state distance matrix;Offset-Loss,,,7,,,,,IEEE,IEEE Conferences,,,,,,
A Scheme of High Available System for Alarm Image Transfer,Z. Yang; L. Zhu; D. Feng; Z. Xiao,"School of Computer Science, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,682,686,"To improve the monitoring and management efficiency of banking and financial industry, this paper designs a transfer system by sending images to the alarm platform. By analyzing and pushing the image, the system completes the alarm and storage function. Meanwhile, the security of data in the system is improved through real-time data backup. In order to ensure that the system continuously provides services over a period of 7*24 hours, a kind of high available mechanisms is designed. After building the system, we tested and evaluated the load capacity and availability of the system. The experimental results show that the scheme can provides service steadily in high concurrency.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466491,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466491,image;FTP;transfer system;high availability,Servers;Monitoring;Heart beat;IP networks;Stress;Industries;Image storage,alarm systems;security of data;visual communication,data security;real-time data backup;storage function;alarm platform;transfer system;financial industry;management efficiency;alarm image transfer;high available system,,,9,,,,,IEEE,IEEE Conferences,,,,,,
Research on Feature Dimensionality Reduction in Content Based Public Cultural Video Retrieval,Y. Liu; A. Sui,"School of Computer Science, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,718,722,"Content features and feature dimensionality reduction play an important role in content-based public cultural video retrieval. The high dimensionality of content features will affect the efficiency of video retrieval. Feature dimensionality reduction is to reduce the dimension of the feature vector as much as possible, that is, to remove the redundancy between features, and to express most of the information with a small amount of data. In this paper, combining the characteristics of public cultural videos, we use the deep learning framework Caffe combined with AlexNet network model to extract the content features of public cultural videos and principle component analysis method to reduce the dimensionality of public cultural video content features. We use these methods to perform retrieval experiments in the public cultural dataset and analyze the results. Experiments show that this dimension reduction method has high retrieval efficiency for public cultural videos.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466379,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466379,deep learning;video retrieval;feature dimension reduction;public culture;feature extraction,Feature extraction;Cultural differences;Dimensionality reduction;Eigenvalues and eigenfunctions;Principal component analysis;Covariance matrices;Image color analysis,content-based retrieval;feature extraction;learning (artificial intelligence);neural nets;principal component analysis;video retrieval,feature dimensionality reduction;content-based public cultural video retrieval;feature vector;public cultural video content features;public cultural dataset;dimension reduction method;high retrieval efficiency;deep learning framework;Caffe;AlexNet network model;principle component analysis,,,11,,,,,IEEE,IEEE Conferences,,,,,,
Research and Optimization of Massive Music Data Access Based on HDFS,T. Ouyang; Y. Cao,"School of Computer Science, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,697,700,"To build a storage management platform for music big data, we need to collect massive heterogeneous music resources from the Internet and store them on big data platforms. Therefore, it is a key problem to build a storage management system that is high performance, extensible, scalable and capable of supporting big data. Building big data platform based on HDFS is a feasible scheme. However, HDFS has good performance for accessing large files, but it is very inefficient for small files such as music source files and music metadata. In view of this, this paper proposes a geared to the needs of mass music based on HDFS small file access optimization scheme, using the format of the music data classification, build multistage merger queue, merging small files into large files in order to reduce the number of files, and create an indexing mechanism to access small files. The index file is then stored in the Phoenix + HBase storage repository and associated with the music metadata to improve the reading efficiency of music small files and music metadata. The experimental test verifies the effectiveness of the optimized scheme and meets the demand of music big data storage management platform.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466493,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466493,Big data;storage;music small file;HDFS;HBase,Indexes;Metadata;Big Data;Merging;Tools;Storage management;Memory management,authorisation;Big Data;distributed databases;meta data;music;storage management,massive music data access;HDFS;massive heterogeneous music resources;storage management system;music source files;music metadata;file access optimization scheme;music data classification;index file;music Big Data storage management platform;Phoenix-HBase storage repository,,,9,,,,,IEEE,IEEE Conferences,,,,,,
My Data: A Framework for Transfer of User Data Using NS2 Simulator,M. A. Abbasi; D. S. Ghani,"Faculty of Computer Science Department, Institute of Business Administration, Karachi, Pakistan; Faculty of Computer Science Department Associate Dean, Institute of Business Administration, Karachi, Pakistan",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,10,15,"ns2 Simulator has been widely used to simulate various scenarios related to wired and wireless medium. However, transfer of real time user data has not been implemented as researchers are more concerned with the output of the system in terms of range of values of particular parameter desired or else. This framework besides running the default simulation as done by ns2 adds the capability to allow transfer of user data and allows user to save at the other end or destination the data received. The user data may be multimedia data or any data (plain text), document file, binary file or raw data. Simulations result show that actual user data received may be same or different, due packet error or noise, respectively depending upon the network topologies used. The user data transfer has been implemented in UDP (CBR traffic).",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466417,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466417,,C++ languages;Data models;Tools;Peer-to-peer computing;Data transfer;Wireless fidelity;Wireless sensor networks,radiocommunication;telecommunication traffic;transport protocols,UDP;wireless medium;wired medium;user data transfer;raw data;multimedia data;default simulation,,,7,,,,,IEEE,IEEE Conferences,,,,,,
K-means Text Dynamic Clustering Algorithm Based on KL Divergence,Z. Huan; Z. Pengzhou; G. Zeyang,"New Media Institute, Communication University of China, Beijing, China; New Media Institute, Communication University of China, Beijing, China; New Media Institute, Communication University of China, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,659,663,"The random selection of the initial cluster center and distance measure function selection in the classical k-means algorithm have a great influence on the time and final precision of the clustering. Based on the above two problems, this paper proposes the classical VSM (vector space model) to represent textual materials. Based on the maximum distance method, K data points with large distribution difference are selected as the initial cluster centers, and the similarity between the cluster centers and the sample data is obtained through KL divergence. And then put what share the similarity in a cluster, form the cluster calculation formula and the distance measure function of the iterative center, and calculate the iteration until the sample data set is empty. The experiment proves that the improved text clustering algorithm proposed in this paper not only reduces the total consumption time of clustering, but also improves the accuracy of clustering at the same time.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466385,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466385,KL divergence;K-means clustering algorithm;text vectorization;text similarity;text dynamic clustering,Clustering algorithms;Convergence;Heuristic algorithms;Entropy;Standards;Probability distribution;Euclidean distance,iterative methods;pattern clustering;text analysis,textual materials;maximum distance method;vector space model;classical VSM;classical k-means algorithm;distance measure function selection;random selection;text dynamic clustering algorithm;improved text clustering;sample data set;iterative center;cluster calculation formula;KL divergence;initial cluster center;K data points,,,13,,,,,IEEE,IEEE Conferences,,,,,,
OPNET-based Performance Analysis of Encrypted Communication Application,Y. Wu; Z. Hong; M. Shi,"School of Computer, Faculty of Science and Engineering, Communication University of China, Beijing, 100024, China; School of Computer, Faculty of Science and Engineering, Communication University of China, Beijing, 100024, China; School of Computer, Faculty of Science and Engineering, Communication University of China, Beijing, 100024, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,754,757,"In this paper, two custom communication applications are designed and modeled by using OPNET simulation platform. The first application only provides the clients plain text communication service but the second one ensures everyone to connect others securely by encrypting messages. In the related scenario, we conduct the simulation to collect and analyze all global statistics of two versions of the communication application respectively. The results of the analysis on the simulation is used to evaluate the feasibility of different encrypting schemes and the conclusion helps to develop more useful communication applications.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466456,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466456,Encrypted communication;Application performance;OPENT,Task analysis;Encryption;Authentication;Delays;Time factors,computer network security;cryptographic protocols;statistical analysis,client plain text communication service;global statistics;OPNET simulation platform;encrypted communication application;OPNET-based performance analysis,,,7,,,,,IEEE,IEEE Conferences,,,,,,
Image Segmentation Algorithms Based on Convolutional Neural Networks,Z. Zhou; H. Wang; W. Shang; L. Zhang,"School of Computer Science, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,350,354,"With the rapid development of neural network and face recognition, the image processing and recognition is more and more important. RCNN and OverFeat represent two early competing ways to do object recognition. In this paper, we review the development of image processing and recognition at the first stage, and then we introduce two methods used to recognize verification code. Finally, we design an experiment to compare the differences between BP and CNN in this field and propose some ways to improve the performance.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466419,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466419,CNN;Image processing;recognition;RCNN,Image segmentation;Feature extraction;Image recognition;Training;Character recognition;Neural networks,face recognition;feature extraction;feedforward neural nets;image representation;image segmentation;object recognition;program verification,image segmentation algorithms;convolutional neural networks;face recognition;image processing;early competing ways;RCNN;OverFeat;BP;CNN;verification code,,,7,,,,,IEEE,IEEE Conferences,,,,,,
DTMC-Based Performance Evaluation of Mobile- phone User’s Application Node,D. Wang; M. Shi; Y. Wang; Z. Hong,"School of Computer, Communication University of China, Beijing, 100024, China; School of Computer, Communication University of China, Beijing, 100024, China; School of Computer, Communication University of China, Beijing, 100024, China; School of Computer, Communication University of China, Beijing, 100024, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,758,761,"New media news client now largely replaces traditional newspaper media. Mobile-phone application node is the key component of distributed mobile phone, which offers reading newspaper on mobile phone. The performance mobile- phone application node has great impact on telephone user's experience. This paper uses DTMC-based model checking methodology to evaluate mobile-phone application node's performance such as Sina or Tencent News client. Based on the analysis of news node's working process, the probability of steady-state is chosen as the performance index to study different parameters' influence on it. Furthermore, trend that the probability of steady-state of News node varies with the effect of probability from ""WeChat"" state to ""Weibo"" state and probability from ""Game"" state to ""Video"" state is derived thereby.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466387,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466387,performance evaluation;Markov random process;News node;steady-state,Hidden Markov models;Markov processes;Steady-state;Games;Performance evaluation;Mobile handsets;Analytical models,formal verification;mobile computing;mobile handsets;social networking (online),Weibo;WeChat;DTMC-based model checking methodology;mobile phone user application node;performance index;steady-state;Tencent News client;telephone user;performance mobile- phone application;distributed mobile phone;mobile-phone application node;new media news client;DTMC-based performance evaluation,,,12,,,,,IEEE,IEEE Conferences,,,,,,
An Improved Artificial Fish Swarm Algorithm and its Application,S. Gao; Y. Wen,"School of Computer Science, Communication University of China, Beijing, China; School of Computer Science, Communication University of China, Beijing, China",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,649,652,"In order to improve the simulation of the undersea conditions, an improved artificial fish swarm algorithm is proposed in this paper. This algorithm uses unity3d to simulate the behavior of fish swarm in four aspects, seek food, avoid obstacles, keep good formation, and various behaviors. The experiment results show that the improved simulation effect is better than the traditional fish swarm algorithm on unity platform.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466458,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466458,biological simulation;untiy3d;artificial fish swarm algorithm,Fish;Particle swarm optimization;Optimization;Clustering algorithms;Solid modeling;Conferences;Biological system modeling,particle swarm optimisation,improved artificial fish swarm algorithm;improved simulation effect;traditional fish swarm algorithm;unity3d,,,11,,,,,IEEE,IEEE Conferences,,,,,,
Image-based Attention Level Estimation of Interaction Scene by Head Pose and Gaze Information,R. Komiya; T. Saitoh; K. Shimada,"Kyushu Institute of Technology, Iizuka, 820-8502, Japan; Kyushu Institute of Technology, Iizuka, 820-8502, Japan; Kyushu Institute of Technology, Iizuka, 820-8502, Japan",2018 IEEE/ACIS 17th International Conference on Computer and Information Science (ICIS),,2018,,,497,501,"In many situations such as chat and discussion, we interact with other people, and interaction analysis is useful for improving communication skills and evaluating a learning effect of education. Although the audio information is possible to analyze the speaker behavior, it is difficult to analyze the non-speaker. On the other hand, the image information is possible to estimate the inside information, such as the concentration level and understanding level of the interaction of the non-speaker not only the speaker by using nodding, face direction, facial expression, and gaze. This paper proposes an image-based method to automatically estimate the attention level of participants for the interaction scene. We collected simulated interaction scenes by using the omnidirectional camera, and applied the proposed method. As a result, we confirmed the effectiveness of the proposed method.",,978-1-5386-5892-5978-1-5386-5893,10.1109/ICIS.2018.8466462,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466462,Interaction scene;attention level estimation;head pose;gaze;omnidirectional camera,Face;Cameras;Feature extraction;Pose estimation;Face detection,cameras;face recognition;feature extraction;gaze tracking;learning (artificial intelligence);pose estimation,attention level estimation;interaction scene;image-based method;concentration level;image information;speaker behavior;audio information;interaction analysis;chat discussion;gaze information;head pose,,,10,,,,,IEEE,IEEE Conferences,,,,,,
